_column	_row	_well	barcodenr	barcodetype_genomic	barcodetype_transcriptomic	cellcount	clone_id	date_sorted	experiment	indexnr	library_type	limsid	plate_id	platenr	shield	tamox_ind	timepoint	tubenr
10	M	M10	298	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
10	N	N10	322	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
10	O	O10	346	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
10	P	P10	370	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	A	A11	11	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	B	B11	35	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	C	C11	59	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	D	D11	83	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	E	E11	107	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	F	F11	131	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	G	G11	155	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	H	H11	179	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	I	I11	203	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	J	J11	227	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	K	K11	251	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	L	L11	275	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	M	M11	299	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	N	N11	323	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	O	O11	347	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
11	P	P11	371	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	A	A12	12	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	B	B12	36	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	C	C12	60	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
